;initialIndex;finalIndex;cv;shapiro;ad;normality;bestDistFit;runs;IQR;;;
157;6655;7247;0,632087228;1,01E-15;3,70E-24;FALSE;weibull;1,00E-79;29,16970253;;;
156;6653;7246;0,630121089;1,31E-15;3,70E-24;FALSE;weibull;5,28E-80;29,16622329;;;
155;6651;7245;0,627459833;1,58E-15;3,70E-24;FALSE;weibull;2,80E-80;29,15369463;;;
191;6723;7281;0,6773672;3,76E-18;3,70E-24;FALSE;lnorm;6,11E-91;29,14563465;;;
107;6659;7251;0,636224928;6,25E-16;3,70E-24;FALSE;gamma;5,63E-81;29,09050179;;;
105;6655;7249;0,633829117;7,76E-16;3,70E-24;FALSE;weibull;4,23E-80;29,07142305;;;
139;6723;7283;0,678489217;2,82E-18;3,70E-24;FALSE;lnorm;2,49E-91;29,03128338;;;
160;6661;7250;0,636305683;7,23E-16;3,70E-24;FALSE;gamma;2,57E-80;28,98476267;;;
159;6659;7249;0,634721146;8,32E-16;3,70E-24;FALSE;gamma;1,33E-80;28,93554306;;;
106;6657;7250;0,635047302;6,86E-16;3,70E-24;FALSE;gamma;8,12E-80;28,93361855;;;
158;6657;7248;0,633406028;9,00E-16;3,70E-24;FALSE;gamma;1,92E-79;28,86230731;;;
192;6725;7282;0,678782172;3,22E-18;3,70E-24;FALSE;lnorm;2,64E-92;28,84249902;;;
140;6725;7284;0,680048126;2,42E-18;3,70E-24;FALSE;lnorm;1,07E-92;28,71949124;;;
197;6735;7287;0,687934714;8,68E-19;3,70E-24;FALSE;lnorm;7,33E-91;28,65656185;;;
87;5246;5808;0,711651263;2,11E-25;3,70E-24;FALSE;lnorm;1,38E-104;28,53705502;;;
196;6733;7286;0,686521409;1,08E-18;3,70E-24;FALSE;lnorm;3,72E-91;28,43131471;;;
145;6735;7289;0,687971976;7,15E-19;3,70E-24;FALSE;lnorm;2,67E-91;28,20606756;;;
195;6731;7285;0,685238148;1,32E-18;3,70E-24;FALSE;lnorm;1,90E-91;28,20606756;;;
198;6737;7288;0,688409525;7,64E-19;3,70E-24;FALSE;lnorm;1,29E-90;27,99379253;;;
144;6733;7288;0,686267439;9,28E-19;3,70E-24;FALSE;lnorm;1,52E-91;27,98082042;;;
194;6729;7284;0,683178131;1,82E-18;3,70E-24;FALSE;lnorm;9,80E-92;27,98082042;;;
143;6731;7287;0,684764375;1,19E-18;3,70E-24;FALSE;lnorm;7,76E-92;27,75557327;;;
193;6727;7283;0,680979899;2,44E-18;3,70E-24;FALSE;lnorm;5,07E-92;27,75264263;;;
146;6737;7290;0,688634521;6,11E-19;3,70E-24;FALSE;lnorm;5,28E-91;27,63662171;;;
142;6729;7286;0,683212651;1,53E-18;3,70E-24;FALSE;lnorm;3,98E-92;27,63267112;;;
88;5248;5809;0,712304858;1,92E-25;3,70E-24;FALSE;lnorm;3,16E-106;27,59784055;;;
199;6739;7289;0,690246656;5,77E-19;3,70E-24;FALSE;lnorm;2,56E-90;27,53503323;;;
141;6727;7285;0,681986137;1,85E-18;3,70E-24;FALSE;lnorm;2,06E-92;27,50976896;;;
147;6739;7291;0,690233571;4,75E-19;3,70E-24;FALSE;lnorm;1,05E-90;27,27118587;;;
200;6741;7290;0,692088364;4,32E-19;3,70E-24;FALSE;lnorm;5,11E-90;27,17724991;;;
148;6741;7292;0,692129262;3,53E-19;3,70E-24;FALSE;lnorm;2,10E-90;26,91134453;;;
89;5250;5810;0,714479543;1,46E-25;3,70E-24;FALSE;lnorm;3,92E-104;26,56265163;;;
149;6743;7293;0,692961933;3,11E-19;3,70E-24;FALSE;lnorm;3,28E-90;26,21524334;;;
452;8200;8797;0,677614361;4,31E-14;5,03E-22;FALSE;weibull;1,71E-103;26,07074642;;;
451;8198;8796;0,676746595;4,86E-14;8,93E-22;FALSE;weibull;9,96E-104;25,98776817;;;
150;6745;7294;0,692625666;3,08E-19;3,70E-24;FALSE;lnorm;1,29E-91;25,81312752;;;
453;8202;8798;0,677195776;4,81E-14;1,26E-21;FALSE;weibull;2,71E-103;25,76728439;;;
521;6883;7461;0,674119785;8,46E-19;3,70E-24;FALSE;lnorm;8,14E-102;25,7499671;;;
90;5252;5811;0,714691044;1,25E-25;3,70E-24;FALSE;lnorm;8,03E-104;25,74918771;;;
533;6907;7473;0,679054845;7,52E-19;3,70E-24;FALSE;lnorm;3,64E-99;25,73280096;;;
522;6885;7462;0,674671319;8,19E-19;3,70E-24;FALSE;lnorm;1,43E-101;25,728688;;;
520;6881;7460;0,674025964;7,63E-19;3,70E-24;FALSE;lnorm;3,86E-101;25,72023606;;;
519;6879;7459;0,673465666;7,72E-19;3,70E-24;FALSE;lnorm;1,46E-100;25,71312428;;;
526;6893;7466;0,675844699;7,57E-19;3,70E-24;FALSE;lnorm;4,35E-99;25,70269108;;;
532;6905;7472;0,678180612;8,34E-19;3,70E-24;FALSE;lnorm;2,07E-99;25,70212817;;;
534;6909;7474;0,681130938;6,32E-19;3,70E-24;FALSE;lnorm;6,39E-99;25,67891812;;;
518;6877;7458;0,673218039;7,22E-19;3,70E-24;FALSE;lnorm;3,61E-99;25,65419984;;;
535;6911;7475;0,682650948;5,27E-19;3,70E-24;FALSE;lnorm;1,12E-98;25,61984921;;;
523;6887;7463;0,675176047;8,04E-19;3,70E-24;FALSE;lnorm;2,03E-101;25,6130352;;;
454;8204;8799;0,677988034;4,38E-14;8,59E-22;FALSE;weibull;4,65E-103;25,59591031;;;
531;6903;7471;0,677755831;8,19E-19;3,70E-24;FALSE;lnorm;1,18E-99;25,57912064;;;
525;6891;7465;0,6751664;7,99E-19;3,70E-24;FALSE;lnorm;2,48E-99;25,57414055;;;
524;6889;7464;0,674267033;8,99E-19;3,70E-24;FALSE;lnorm;1,41E-99;25,55260658;;;
527;6895;7467;0,676097478;7,64E-19;3,70E-24;FALSE;lnorm;7,65E-99;25,5352459;;;
