time,hygrometer,moisture,air_humidity,tempC,tempF,error,annotation
21-08-17T10:02:41,306,71,64.00,26.20,79.16,0,None
21-08-17T10:04:41,306,71,64.00,26.20,79.16,0,None
21-08-17T10:06:41,307,70,64.00,26.20,79.16,0,None
21-08-17T10:08:41,308,70,64.00,26.20,79.16,0,None
21-08-17T10:10:41,309,70,64.00,26.20,79.16,0,None
21-08-17T10:12:41,310,70,64.00,26.20,79.16,0,None
21-08-17T10:14:41,310,70,65.00,26.20,79.16,0,None
21-08-17T10:16:41,310,70,65.00,26.10,78.98,0,None
21-08-17T10:18:41,310,70,65.00,26.10,78.98,0,None
21-08-17T10:20:41,311,70,65.00,26.10,78.98,0,None
21-08-17T10:22:41,309,70,65.00,26.10,78.98,0,None
